Sample,Ad-GFP¢Ù,Ad-GFP¢Ú,Ad-GFP¢Û,Ad-GFP¢Ü,Ad-GFP¢İ,Ad-GFP¢Ş,QC_1,QC_2,QC_3,QC_11,QC_18,Ad-IGF2¢Ù,Ad-IGF2¢Ú,Ad-IGF2¢Û,Ad-IGF2¢Ü,Ad-IGF2¢İ,Ad-IGF2¢Ş
Lable,Ad-GFP¢Ù,Ad-GFP¢Ú,Ad-GFP¢Û,Ad-GFP¢Ü,Ad-GFP¢İ,Ad-GFP¢Ş,QC,QC,QC,QC,QC,Ad-IGF2¢Ù,Ad-IGF2¢Ú,Ad-IGF2¢Û,Ad-IGF2¢Ü,Ad-IGF2¢İ,Ad-IGF2¢Ş
neg-M1032T565_3,91064.38644,152247.4444,210172.1365,122906.9673,136500.366,116633.9638,135213.5215,110193.2756,140122.6688,151550.5344,151395.0941,289888.2749,340344.0037,161003.2663,114249.7446,85216.74052,260202.9515
neg-M1032T565_4,52505.25431,169678.6947,185932.5048,75809.65935,68289.2281,93244.14177,110273.7774,71872.59176,52913.68069,86245.69605,71399.98328,235781.1409,248192.6319,146393.0669,105743.6086,90667.0004,107232.2767
neg-M1032T565_5,55327.27747,88529.54122,76346.63294,47900.01166,41881.91757,57746.11257,48064.97901,38624.711,41427.17643,52422.6066,47123.75218,122679.9092,133214.8968,93245.33053,62761.16903,58972.49661,146737.084
neg-M1033T355,1721586.441,1725468.233,1857677.402,1316867.772,1376875.357,1339774.34,2197269.262,1806469.97,2347462.087,1713370.152,1452825.532,2582134.506,2192344.77,1525784.094,2020735.982,1546467.735,1584836.606
neg-M1034T355,847234.5471,979948.2816,1039991.207,726497.2876,890195.7774,693407.143,1211592.615,1357803.332,1038054.933,1061961.051,730699.9195,1316829.224,1158919.144,862773.3618,1088283.78,891952.4334,934571.3485
neg-M1036T245,103203.6535,104246.2456,87253.14907,70433.16997,84036.46615,84138.49301,129660.5599,100607.5416,110936.192,132993.2303,144984.1506,236261.4666,264235.1929,218661.3698,143495.0659,101795.177,178103.7172
neg-M1036T355,706300.0459,755898.6607,753105.042,512925.3739,550103.5002,470889.7391,1227637.709,724994.8926,770266.4876,618492.9,554582.1884,1160622.365,995682.2309,674936.7962,696777.8706,556089.9045,803092.8644
neg-M1037T245_1,204985.6549,242072.666,241272.5718,140152.2895,101418.2822,167700.9238,318632.568,208044.4531,251763.4691,312736.729,340752.1433,414271.0094,556145.6129,452065.4194,379476.6249,497225.6342,413598.5656
neg-M1037T245_2,271154.7955,278772.7096,425395.9292,266465.4355,305574.2038,352832.797,456330.7775,452722.5258,509412.9777,491360.6708,490278.7918,701165.6842,790166.5701,713008.7232,689683.6457,751363.0596,656122.6479
neg-M1037T245_3,341832.9524,425692.2668,406926.6417,330020.436,230996.886,438183.1198,475356.8306,493465.1512,582325.0111,700804.4876,683148.0888,1010558.542,1018177.602,763243.0019,775578.312,786136.6351,697802.95
neg-M1037T245_4,318828.4634,415478.3815,335917.9086,302882.5633,405527.2365,450910.8027,561819.2553,517016.3394,589924.5642,525246.2556,607278.2369,882011.9592,955330.5791,768139.112,678796.3016,876619.6278,733798.1686
neg-M1037T245_5,380740.6771,388253.0649,306302.677,277611.4173,288413.2136,348861.4939,521849.2926,519638.8708,427120.4386,523895.9795,492444.6983,805898.9276,752506.3267,748027.6744,635080.1321,702105.4745,681943.1949
neg-M1037T245_6,356295.2939,252409.1635,320246.6543,226872.2486,210159.1481,289766.3459,340140.4853,304995.1474,391672.786,403443.1799,368784.2551,648930.9547,687636.9075,415687.3997,472130.6324,588451.0108,478881.4245
neg-M1037T245_7,101770.6869,181730.18,193144.2975,108644.9856,202652.5593,176676.2234,179656.416,277207.0058,305006.6358,215357.2953,262218.1944,343957.0867,305317.9354,341032.757,372708.7336,332126.9163,259663.6637
neg-M1037T245_8,56743.62283,60686.32408,154779.447,55169.92851,81164.7406,147631.1974,132004.2898,111177.477,198116.4843,141655.643,170081.0057,223905.3492,260093.7908,162884.6325,157538.3135,300600.5791,208707.6668
neg-M1037T355,501770.3935,456318.927,455950.3886,324500.1914,427131.789,321507.833,778380.0882,458617.3442,514257.2201,504660.1974,271766.6523,611813.9647,428090.3577,425212.7226,455299.6751,324928.4457,317784.1209
neg-M1038T245,88841.07501,23807.98639,53258.23126,50321.37795,33118.11509,40599.23156,77794.69885,96779.17309,47327.19948,49456.04662,56829.74452,105132.3771,105237.2374,77922.10695,84925.05019,88084.43007,106333.0136
neg-M103T49,3429916.292,4374652.183,3763331.793,4065894.482,3784895.276,4446789.726,4150848.023,3721178.191,4298783.859,3932472.357,4990150.092,5507937.383,5120687.149,3652992.141,5232626.886,4101920.26,4435066.295
neg-M103T54,104133.5805,236529.4185,149983.9319,135472.7478,2096713.124,422657.4924,211640.9631,226049.1299,322243.0749,233186.9265,477154.5278,541949.4547,528017.1223,245950.4735,512700.7598,459989.0669,2214264.679
neg-M103T553,4420401.021,4344189.894,3768583.648,5023835.946,4310905.31,4522567.03,5014230.744,1974875.97,4447459.03,3435986.027,6413308.031,3710538.747,5271302.841,4176855.121,4526422.468,6293524.09,4684964.09
neg-M103T72_3,26128062.82,38784499.05,33604491.58,127508330.9,147060537.5,28244298.29,101062760,100475729.5,65390461.07,105990937.1,73851161.5,165717675.3,126030018.5,124199394.8,131983791.6,100047233.3,78211007.43
neg-M103T72_4,244351.1671,210351.933,206147.0009,579611.8598,368371.1838,313655.0131,293904.669,307855.7668,300135.4985,461563.5567,76919.08108,270187.7115,231959.0042,400279.1666,435668.633,210809.2826,145703.7659
neg-M103T95,15545973.43,25102926.3,25181241.37,31655708.19,32694318.61,23234324.26,24235616.21,27467912.99,22642446.38,26008328.96,32814108.12,36788335.5,26447309.43,21994790.88,38148997.69,26272610.1,33137266.07
