Sample,Ad-GFP¢Ù,Ad-GFP¢Ú,Ad-GFP¢Û,Ad-GFP¢Ü,Ad-GFP¢İ,Ad-GFP¢Ş,QC_1,QC_2,QC_3,QC_11,QC_18,Ad-IGF2¢Ù,Ad-IGF2¢Ú,Ad-IGF2¢Û,Ad-IGF2¢Ü,Ad-IGF2¢İ,Ad-IGF2¢Ş
Lable,Ad-GFP¢Ù,Ad-GFP¢Ú,Ad-GFP¢Û,Ad-GFP¢Ü,Ad-GFP¢İ,Ad-GFP¢Ş,QC,QC,QC,QC,QC,Ad-IGF2¢Ù,Ad-IGF2¢Ú,Ad-IGF2¢Û,Ad-IGF2¢Ü,Ad-IGF2¢İ,Ad-IGF2¢Ş
neg-M197T258,741997.2826,1087994.302,1112965.635,854738.8116,705179.8521,1263434.104,755567.8689,2137268.321,882214.9263,2129955.144,1014031.616,814680.4569,758646.6002,895639.0781,969785.798,892746.7121,1163749.331
neg-M197T265,1408044.375,586001.784,544096.3671,603495.2519,932356.7503,1777393.167,662856.6577,1615924.58,654391.7339,773035.3843,842041.3224,804545.9103,843320.1568,718090.5228,906752.532,778861.7386,898724.1795
neg-M197T303,88466.24407,95409.50492,164786.594,136478.0089,118000.624,237063.732,53524.18593,157659.2225,165553.4889,106589.174,211399.628,52517.90675,39464.79308,150695.2924,159507.8735,213295.2898,233641.6243
neg-M197T356,5242906.928,7620569.425,11394088.63,13490030.68,12992234.23,7910042.162,9574287.217,9381884.514,20437588.45,9948748.431,10591098.22,33069894.27,5218076.785,7869829.169,13659294.89,11264572.37,14488512.69
neg-M197T48,940905.3501,697455.7107,791210.1669,628901.7816,698102.9673,723829.792,1438595.056,1555230.9,862846.6076,831057.4472,578201.1208,1822019.651,1104503.543,646164.014,1120855.279,1370048.894,673461.9212
neg-M197T5_1,362720.5805,465618.7185,445852.0036,422328.733,406175.3279,377166.6898,270680.5474,384820.1001,459082.69,378324.9998,307963.6443,462070.1096,395590.3367,467524.9774,377383.8445,425069.8143,394731.9852
neg-M197T52,283767.8443,314864.3146,248671.877,204487.7783,500598.8277,429981.2263,248299.059,202693.7132,249655.6036,252973.8748,351813.3053,534832.3124,556560.4267,435045.517,401019.4179,157700.6621,423812.0484
neg-M197T54,195000.2813,155178.8288,242891.0381,61111.13152,154910.5025,154595.8328,90279.37707,69387.35017,140821.5943,82670.76063,157403.3432,139591.4249,267056.5315,172044.2294,266378.7173,470824.2287,82081.90001
neg-M197T556,295580.8234,306657.064,350455.1726,333451.2143,418438.9406,496105.4869,371454.018,302651.8359,280852.4405,430790.524,265990.2102,309222.5889,333089.1352,655761.792,336216.4592,362527.7259,330560.6013
neg-M197T561,25898.99569,99558.86597,59824.98599,42902.25219,81284.08869,122000.357,121151.2136,97105.51661,96676.96878,44737.02237,79076.37595,21061.01643,41076.44337,52998.38027,107050.0398,69885.48182,111139.2076
neg-M197T575,438735.4267,389369.2788,340026.905,306211.2007,395700.7172,393293.1961,410053.7533,775810.7178,656613.6193,718900.5226,462194.4549,343040.6276,477138.2429,272643.7084,482656.9178,257616.7994,798671.4001
neg-M197T597,53374.1842,69053.77707,76207.12022,97819.23792,97609.57786,92377.42037,72871.39483,51980.99408,56874.26424,92197.32194,102960.4893,78106.69411,71708.14915,80175.96174,104948.6194,113317.2711,100179.2686
neg-M197T599,100652.1256,105508.1162,106958.6275,103750.5522,113536.2964,94919.55299,88334.75859,90501.38705,85914.70491,130782.624,103302.8207,134362.4074,112647.9606,121867.8307,123383.1474,108307.8597,97776.2472
neg-M197T7,1235102.832,865392.1122,457758.3622,795509.4551,843957.1878,697853.2006,344321.3332,1289243.767,1217918.498,754155.0885,772736.8873,398240.4077,827255.7738,750614.1741,867968.1168,436956.9614,756290.7167
neg-M197T76,689390.0292,2298649.184,1529525.673,454577.5877,1430341.354,1454472.007,1948729.86,2029517.128,1100375.904,937288.5201,1540327.052,1723982.54,1736820.797,1639725.346,500883.3095,1719045.374,1672507.578
neg-M197T94,79762.09234,155952.1456,174676.3586,187401.9226,186905.6372,287800.2741,351836.5923,143905.8419,148115.6869,162994.6114,286212.8908,317286.245,174651.1701,339255.8431,121703.252,149821.5283,296772.0702
neg-M198T115,173424343.7,56101564.18,214441126.8,193376609,178106799.3,209222384.2,125884096.9,134780398.4,212190970.7,199927665.8,181235725.8,102438339.4,205904429,160309640.2,238642974.5,51084250.95,194120452.6
neg-M198T159,248651014.2,141823430.4,109307713.9,49656048.02,66132713.12,160099379.3,107479706.6,129792220.6,80048420.08,27538937.69,68062703.57,72631885.98,135660348.6,145105367.1,188581688.4,121581145.3,38974400.83
neg-M198T225,1933291.747,38654.88477,55584.4877,69967.39049,109529.0855,54991.24636,76671.07188,88492.10626,75916.86325,63145.42117,80498.67106,59454.22661,34544.53522,3577167.682,101669.2553,75930.99619,91154.0764
neg-M198T226,2375749.754,2319916.951,3094452.823,2512348.622,3424171.956,3407635.308,3582289.289,3508219.733,3801073.538,4035810.731,4100072.081,2872264.479,4897594.141,4112860.803,4784058.722,4623440.499,3890034.74
neg-M198T228,188762.5432,185876.5955,160917.9555,135857.921,273167.0814,255401.3683,57801.55421,61508.3621,56732.64764,74119.85672,72368.81489,6474.004626,29737.6146,45828.58791,8589.828101,36324.16993,7057.637249
neg-M198T229,247948.1126,114824.672,182480.2864,226630.7373,203141.6049,214985.9111,103524.8233,143739.5917,137338.8469,145088.6675,153782.3013,76759.80829,4779238.283,4028128.781,4551324.258,55676.99651,3685179.594
neg-M198T287,896102.6305,266429.3839,413740.9235,338002.9239,311621.8948,451867.9342,406327.2182,544526.0887,677484.8854,467839.8095,442271.3872,317348.4329,426617.3778,306027.5461,546753.7891,523779.2684,592421.654
neg-M198T309,130353.1076,183066.447,104973.4046,146089.9902,145743.2528,175704.9236,166181.4165,162096.0506,111183.1994,128138.4119,153768.6792,111421.1499,147753.8774,144511.0761,123481.6192,210046.3856,204034.2718
neg-M198T356,732311.4581,859340.5185,1624234.331,2164400.704,1557822.147,1157996.66,1198860.409,1283099.004,1246863.159,1321212.249,1432577.222,1587186.553,659982.1654,930065.9327,1663184.581,1391478.364,1791907.733
neg-M198T49,1151627.084,307899.5516,711525.8604,644791.0664,467245.7084,285038.4598,758432.6705,700921.8412,724655.9405,563484.4855,610724.5897,214749.2988,676988.1846,1562628.315,330168.0619,1053674.668,915928.0818
neg-M198T5,4492443.793,2790590.314,3687835.098,3857391.647,3629495.313,3588920.713,1345006.288,5860210.137,5712310.199,3672942.745,3471067.949,4244333.671,2202074.608,3257979.068,3953717.993,3772718.077,3629228.711
neg-M198T54,83739.55935,144425.2265,215676.8799,57943.47411,141754.2789,171627.2757,104132.1211,189781.7274,118938.1792,281592.7915,258633.9478,628150.8381,180778.0678,264392.0193,147706.0863,258680.6597,247742.566
neg-M198T556,90142.84805,132746.1649,123735.933,139719.6543,59974.40055,168953.875,102885.627,105828.3906,112230.2685,136388.069,190830.4473,107024.6827,44284.14303,210349.5153,138171.9692,44528.73986,179287.4032
neg-M198T56,16325982.23,18300279.82,13232220.63,11377429.32,13127413.58,17428387.3,13106558.8,13502595.9,15175083.27,14123304.9,15778068.77,14271393.09,18115043.13,22565657.31,10815736.95,14603814.39,11458141.62
neg-M198T599,2670926.142,2014383.059,1577912.172,1490183.036,1365703.484,1187421.579,3996075.397,2480611.611,2857367.805,1838474.921,1157687.989,2821561.243,1941849.087,1627485.416,1354146.58,1459254.211,1119846.198
neg-M198T74,707469.3827,555441.5714,636815.3134,814866.8626,507945.4408,769852.5954,440887.622,445401.9958,441506.7806,339500.4214,584731.5654,424534.8648,182959.8773,376932.1046,403289.7754,462109.2214,437356.8715
neg-M199T110,36269.01862,605753.6839,77365.22405,614149.6881,624231.5278,703663.1534,198447.1209,235876.6736,239793.6087,237159.0291,322115.6359,385394.5382,471328.9652,466627.1739,521607.3034,449156.7888,558517.2214
neg-M199T115,3387408.759,5777977.645,4362054.421,2878204.377,3424959.74,1635033.455,834020.8706,4682216.321,4172367.423,4243839.194,3575722.078,4640390.366,4383490.628,3425563.523,5556682.032,1180145.362,1827861.303
neg-M199T158,410814.7143,227461.2697,190546.3927,276737.2864,232565.7692,798665.8764,320855.0914,329211.5942,364170.2128,592122.6024,218207.6989,1260234.032,536686.0928,672746.6402,752496.709,678559.9721,1451040.742
neg-M199T162,1875150.512,3134823.794,2046600.354,4049553.03,1854892.868,3312323.689,2472350.834,2911286.221,3227143.08,1599914.198,3317825.386,3508707.107,2997767.219,3026662.742,2750372.359,1229304.273,3141278.649
neg-M199T206_1,19036.58638,62122.46968,15991.1981,11825.32867,33843.28218,18106.79266,167424.2113,133625.7867,199275.2082,195453.3334,182069.9854,110633.9642,267427.4618,245354.7948,285372.899,287732.4629,256912.4588
neg-M199T226_1,76648.64814,109124.8562,101478.2333,98626.38375,149745.3196,78837.00051,3579140.84,3361297.072,3673712.452,3070038.939,3195950.88,3068587.967,5826099.008,5834934.455,5857310.589,5776501.453,5204279.4
neg-M199T226_2,234004.8356,229720.9165,285069.5568,244423.7507,309401.3891,328891.7593,343454.4256,347798.3181,393845.9712,432193.5327,398142.286,632646.4155,505925.9262,399818.9951,499748.5095,475893.0157,367057.8769
neg-M199T229,2132296.932,2957735.866,3101032.665,2286678.932,6378791.351,1770377.293,1415638.671,1481819.437,1502327.406,1772258.431,1696516.151,203234.7899,358743.7196,377598.3372,104454.0559,216307.3189,103221.9279
neg-M199T232,122194.2792,175081.5526,238529.4981,146744.5523,190255.0778,180969.1576,113904.9052,126518.7727,125192.2651,180570.7382,166627.1176,156990.7085,177725.724,218013.3256,131318.0051,196363.6655,148851.2888
neg-M199T235,1855534.245,1403075.595,1676157.199,1711321.999,1837060.943,1780756.171,1674259.054,1602881.195,1620222.886,1663492.404,1639435.746,2144292.773,1859016.251,1688554.178,1662998.794,1671920.638,2413509.259
neg-M199T382,37548438.33,37453250.77,38102910.63,48638881.12,60418319.61,43334732.55,42737055.32,40927334.53,70517181.04,49816017.62,53913120.24,66638190.69,30715964.17,60129261.93,49451126.99,46939913.64,64422130.33
neg-M199T4,584903.3492,501429.9862,499169.8431,476366.321,504773.2,515154.1774,190658.8911,250550.7724,413930.3244,433897.8236,423672.9978,362989.4595,457235.7882,546712.6414,585661.8405,442053.3962,506325.3889
neg-M199T478,2099112.229,2584383.056,1156097.154,1049566.232,2299748.884,2642961.664,1709425.449,1902529.572,2155935.953,2309028.022,1914040.922,3344909.199,2210240.618,3652121.687,2638694.131,1617499.85,3173616.313
neg-M199T49,15599869.44,23169343.88,21027699.71,23228371.78,21042582.98,26133479.51,21922215.86,20426974.82,22296808.72,20968948.36,22448915.59,24011270.75,25872925.27,18226811.81,26025157.84,28776725.68,23643898.46
neg-M199T53,9715783.261,17113205.12,20530785.99,16569352.2,23260055.88,20299951.16,16583985.65,15455183.89,15090749.16,16440350.03,16644141.14,22450799.7,11114017.48,5031346.561,27556603.74,10785794.79,22069088.68
neg-M199T55,1873379.262,1911687.25,1555038.018,1882022.281,1520306.832,1829819.519,1791343.627,1872146.325,1589294.202,1756800.732,1849345.234,2105895.874,2161191.835,1713242.79,2266501.221,2078169.207,2188272.536
neg-M199T555,481792.7243,123198.1018,117972.2754,190212.759,338161.1135,156530.8193,522113.1829,629337.1974,414061.4598,352549.2495,160421.6332,365048.0166,237192.6841,369110.591,201259.3105,309166.6592,150100.4655
neg-M199T56,1139921.086,1261289.187,929900.6988,835482.4859,769250.0294,1358802.389,879827.014,953840.6582,1187557.25,897790.5408,1042340.282,959660.4241,1671773.961,1692795.198,1222260.452,1401295.3,729386.1415
neg-M199T577,48517.15029,44785.58934,43611.33362,89679.17129,56532.89507,44405.61689,10783.6638,24126.49576,27490.07102,18744.59725,26516.66571,25117.6728,31531.14077,16383.39392,50319.77818,24797.20165,61592.14185
neg-M199T597,43561.90846,41604.86914,30237.27406,47755.97158,59857.20384,50419.36309,86483.94676,48667.6534,28649.78225,57297.48783,48130.42076,24282.98236,39955.05349,33779.25888,39869.65925,72987.84916,49955.62739
neg-M199T599_1,152853.2752,190238.992,174306.1524,210988.0568,229161.7013,217277.9652,132131.9735,92710.67688,113730.3468,218302.3144,199212.3119,162975.3935,184227.0123,177031.5903,216915.4351,220272.7756,215577.9125
neg-M199T599_2,35507.81711,36493.32622,15133.93823,31579.75875,26046.35936,25248.29817,30889.05663,14310.31128,9971.752591,20568.80879,28855.30974,24721.00973,22412.90082,26182.02538,49538.31167,31758.00911,13333.4527
neg-M199T66,70020.26891,64249.64429,212479.3892,55301.05774,2071114.052,187939.1798,101159.1731,73400.03283,176344.7786,128614.7686,209681.1611,268314.8875,983276.7896,87858.55668,279149.4272,1088559.103,370985.0225
neg-M200T115,82642308.53,54548199.35,101229284.6,94155587.04,84343427.57,99474666.48,58983144.58,63049938.22,101593034.1,94471225.72,83816184.86,118166282.5,98688393.89,76723426.4,112630143.5,81062715.25,92475295.62
neg-M200T117,575874.6401,953044.9942,856863.4252,808636.0446,863295.2259,659232.7203,1031439.627,1310859.807,814002.4922,609525.1872,667122.8776,399814.9701,1026952.986,819762.3453,525028.771,739532.9617,167947.9487
neg-M200T160,1620394.797,1003424.402,872483.8532,791394.2296,717625.684,658403.8029,1157208.849,1310021.536,458947.4514,809613.0125,696257.7893,940603.4297,810986.0156,973556.1173,352420.8137,591452.1942,812217.0402
neg-M200T212,131722.3813,90937.72921,848712.947,190920.251,158347.6216,184523.2539,206270.0996,158774.3984,140097.8535,130271.0198,113505.1906,13770.76268,11208.26908,14342.97711,18362.43946,23679.18072,29138.89015
neg-M200T226,267226.0999,191645.7079,145471.592,146512.5077,209745.409,176691.5001,59015.45124,69257.30717,62230.35601,47555.13453,42836.90429,44388.24206,191552.6038,99461.60244,109472.1339,108960.729,52555.24238
neg-M200T229_2,189338.9031,241642.721,247512.1996,178523.4714,540553.7094,150755.7574,109292.5397,116223.9606,119769.1962,162104.9025,136980.4912,21327.29115,16849.09227,26144.20532,29668.99886,10127.30775,2943.26348
neg-M200T231,2756888.571,2412740.647,2858856.469,2775866.073,3718215.876,2999482.609,4973647.283,5071956.619,5016969.714,5452880.866,5320067.223,6751794.805,8915418.971,7804047.272,8272351.56,9250880.187,7808471.863
neg-M200T236,178516.7896,144759.3556,165451.4159,142738.1147,173329.4006,201895.9546,189853.4796,113224.2087,153534.3077,171774.6338,206138.013,158493.1923,176327.885,172243.1755,203191.8606,178811.183,237978.4742
neg-M200T274,250021.2659,681145.7219,354531.4421,826307.2659,714083.1009,472549.8576,454223.4246,418423.3012,387630.0307,1046811.169,946070.5154,364068.5471,424138.6646,437267.1664,388271.3349,749530.3776,456277.0316
neg-M200T303,193320.5566,252139.5229,173473.7779,268741.664,296784.5553,308137.1006,273118.5302,214895.9419,308672.179,238635.1191,342955.9752,184554.8617,231742.5804,215276.1424,294859.7202,365410.0304,285646.1544
neg-M200T381,4543950.133,4369896.937,4596189.584,6262659.991,7331596.761,5148315.827,5075560.779,5002605.112,8433102.648,9402753.202,6488615.534,8272414.661,3661640.898,6252113.969,5792631.448,5610181.239,8090648.69
neg-M200T49,375391.728,79763.62954,217905.9108,149687.6574,67646.80346,14861.14539,195592.7236,154185.959,145429.5488,108525.1844,227566.0038,97204.63329,209734.9212,436576.2331,21138.4306,351346.2209,317977.3714
neg-M200T50_1,810269.8775,972909.43,807831.6295,1440793.033,1047241.806,1269479.72,896129.8092,1423455.636,992881.4861,845458.0728,892551.2356,800745.6573,401892.8343,423409.8027,671285.9644,2185158.649,902539.6021
neg-M200T50_2,8132459.267,9035029.825,10493667.19,6585804.346,6429730.901,9372661.685,8005519.902,8435978.999,8138006.287,7986848.555,8305261.982,9409650.96,10920506.13,7357226.502,11718949.97,6846371.863,10811661.44
neg-M200T53,654618.7696,1123652.667,1204890.108,1060480.26,1573675.156,1396015.75,1019600.953,932351.4254,907209.7082,1006338.22,883739.9283,1576489.67,638803.1139,215510.265,1878246.535,732730.1324,1504466.375
neg-M200T557,76881.60212,88714.88864,39794.35879,107881.0234,76731.66613,51547.31688,42767.4274,38284.71461,55392.19709,55281.15053,105568.9537,73920.19765,58700.70119,90585.61412,61579.2764,98940.80453,102229.1952
neg-M200T599_1,1183101.691,919002.1797,742274.5007,704715.6067,664249.324,567734.367,1829104.028,1131229.525,1327342.768,829877.583,521544.5286,1298830.991,903722.1936,765482.9579,618713.9687,682069.4383,502024.9285
neg-M200T599_2,268467.5987,222297.6828,232941.1175,275788.7611,270972.9501,238829.2866,428492.2901,280772.3412,236523.3059,306645.9596,220447.8123,282817.179,256428.7412,249149.0538,273819.3103,285471.9036,231852.7788
neg-M200T84,653687.1117,296893.1829,277403.0024,281382.7362,353020.6887,305219.8038,129820.5246,164489.4866,350683.2984,236649.1207,285602.4053,170514.6069,278649.7636,370806.8485,324450.9389,287446.3043,369036.7045
neg-M200T94,256220.4272,144985.4989,126340.5565,121068.0283,154289.6827,128648.528,200148.5599,138015.7752,150441.4537,132318.7604,161407.7112,248325.8359,194264.3755,168978.4445,97094.24963,122929.8214,122337.8894
neg-M200T96,104985.3591,186772.7632,178704.0223,108115.0971,161656.2036,206702.9936,379788.3438,359007.4153,401705.2335,378773.8721,390459.6369,599740.4603,393765.9231,296610.6833,1015689.665,732361.4035,693325.0968
neg-M201T107,5965774.267,11115366.69,4950989.035,6229772.3,6738335.626,14578185.61,8742924.163,15927517.37,6641064.243,9065198.958,9992144.522,6956421.908,6593506.963,5484352.223,11295371.39,7768442.662,6289955.2
neg-M201T115,1757062.558,541945.2248,2113205.619,462816.1789,1785350.809,2075203.431,1760445.164,2219129.23,2090953.342,1998337.474,1770128.994,586633.271,2031108.634,1567295.501,4045871.154,1592108.164,1937117.122
neg-M201T161,1423463.281,2062485.887,1108896.955,1466177.368,350045.9216,721281.3318,1163619.102,1376646.356,1417115.481,1080074.044,1085455.918,1046640.88,595799.1809,1325020.3,1204258.683,738779.9453,1452842.552
neg-M201T204,347686.119,358254.1989,404807.2508,361485.8117,336334.6611,670566.4668,302227.6234,279955.9673,220624.3021,461713.4731,343626.0191,443900.0164,205030.1736,213382.9022,168143.7027,194665.6692,299144.6321
neg-M201T209,53420.84397,72947.42477,85135.67908,244306.6489,79734.01841,71588.20541,56710.09845,36187.46881,64281.13127,82839.42117,85589.22125,286490.3751,158065.4695,149825.8155,27629.22356,216125.3142,172911.5364
neg-M201T218,3488782.929,4193027.932,5157953.46,3312141.179,3845167.634,6088940.404,2572142.212,3364173.755,3502899.081,2481417.88,2704997.324,1376718.395,2402746.347,2146708.866,1707973.552,1435035.663,1882537.107
neg-M201T226,83804.27346,73135.33596,48790.08937,50587.20238,44497.70188,54805.23289,4876227.267,4550911.326,4849821.933,4082296.51,4359462.199,4124178.101,7855149.664,7957965.65,8038101.305,8097871.309,7064053.24
neg-M201T229,54668.47991,75784.86696,78086.22151,214395.885,165959.0553,53144.89093,29184.56292,38114.8828,36731.83299,36380.8446,38497.019,93287.0383,36697.1737,14712.36262,139486.8904,115084.7216,141243.2826
neg-M201T231,286903.2948,500536.7906,319330.0781,259885.269,386792.982,292224.2682,474752.9672,541305.6094,514898.9108,559327.1251,663855.608,698024.5357,884163.2693,756238.3779,851393.6663,952603.8232,793825.6293
neg-M201T232,64743801.98,110096276.1,67146011.55,75277468.08,77913265.58,43765872.87,33737779.22,34381646.8,35309082.55,41147291.93,39951036.8,328620.009,737486.1133,345002.5576,469824.1292,372099.1343,445010.0567
neg-M201T242,5574362.023,4575798.491,7289464.757,6221444.115,5495122.271,6093026.289,6337489.326,6503929.356,5716891.811,6358478.746,6541466.694,7211515.084,6509900.548,7233528.411,5711001.918,5808915.509,9051108.645
neg-M201T252,1600278.929,1909758.017,3863313.372,2923508.028,2870256.514,3437965.6,10753566.96,9225162.936,9035812.821,3452993.548,7645446.183,1695670.925,1929701.007,7199218.307,6652480.358,6349035.66,2005256.204
neg-M201T269,2935819.616,3483922.968,1759311.099,2027332.457,3394663.446,3100969.835,4286016.947,3825269.293,3800042.833,3136439.452,8338217.91,3600643.314,2687517.952,6365390.14,7121727.533,6919546.742,3275560.421
neg-M201T38,33179.44954,21578.72836,24019.30677,63318.82966,52241.82944,72637.28063,61724.63106,65076.15152,40067.02843,49805.3978,110752.9987,29917.34978,16606.33852,53742.36681,32463.12797,82140.44325,136254.0705
neg-M201T381,228497.099,219795.6878,196562.1282,269001.3355,337099.9529,220735.9936,232217.5517,313880.766,350506.381,276420.5366,302339.1854,406016.6508,220853.6489,202237.0115,237622.5547,302889.7538,340224.7512
neg-M201T44,3941186.714,1607980.862,1948412.065,2201710.35,2318874.804,1988538.173,2063838.519,1748957.68,2002300.865,1520298.496,2381112.567,821944.0552,2157030.686,2699873.37,1394788.436,2599029.972,1072763.646
neg-M201T45,1950390.685,11669572.1,13973441.91,13029692.7,14486732.96,22629023.91,10890932.83,10615601.87,10763555.63,9641367.488,15446191.46,37358399.98,8286637.631,3933907.995,32749384.99,5855200.103,29224504.89
neg-M201T46,1570907.5,2992083.508,2320555.295,3572071.63,3562642.784,3360773.3,3708327.213,3806408.34,3409648.141,3589361.2,3350381.157,4075224.027,3582511.013,3510442.813,3635532.683,3378335.328,3589800.481
neg-M201T49_1,4904260.346,7614768.447,6907675.17,7246445.101,6698009.734,8392321.636,7298061.182,7026032.695,7453892.913,6616270.031,7373699.966,7941408.569,5980208.711,5302277.518,7114197.72,9598835.659,7777722.874
neg-M201T49_2,386041.7737,362518.61,487620.106,294214.6267,248047.072,453701.4707,321784.5543,300788.959,298269.7485,252034.7935,375043.4484,220592.0642,526173.1958,337731.5062,206583.4301,218112.1462,297243.8964
neg-M201T5_2,271252.1869,162027.1512,230312.6418,145576.9555,279435.3592,262436.1855,42418.82953,139697.9368,156580.817,166502.0249,180149.9154,278525.5869,266321.6228,235447.739,179800.8868,225952.0318,232585.8933
neg-M201T548,286011.1021,373446.4628,203248.868,274421.9817,279728.4837,190877.6052,245577.0168,258973.7337,108987.4186,117480.429,115499.9978,158678.0207,222375.6434,266344.6081,266001.5871,146691.1877,67900.16507
neg-M201T557,371429.571,384706.6442,150939.1225,148834.7273,111611.729,131714.2158,43586.09263,119962.364,64260.02673,90296.32267,124111.2763,63153.4427,101013.3438,118627.5929,125082.8188,363140.542,205512.2798
neg-M201T562,308129.1285,335684.8052,282570.2648,301096.8754,282221.0282,346928.3754,309624.7858,291257.5068,587895.4948,236985.1842,362426.8468,710444.3573,495301.4722,222160.6162,244364.981,341971.2676,264312.7814
neg-M201T565,1285820.386,1156556.811,985512.3397,1137572.066,938703.641,1066802.417,1530760.915,1701446.505,1603885.073,982262.4974,892175.5375,1476772.669,1094414.197,1095226.848,1020743.874,1025703.012,927119.8124
neg-M201T57,399866218.5,635949651.1,912914914.2,411323289.8,559168416.2,540209800.1,396037691.7,355231138.1,476158006,364299465.1,468150552.7,266232748.3,356467742.4,318473073.3,538526225.1,464976318.8,1001324113
neg-M201T591_2,1831469.695,1225095.786,1419252.717,803193.7539,817009.5496,950651.7327,1135289.175,1045819.286,1256555.474,954057.8873,980075.9541,1544961.363,989419.0413,958128.9415,915364.9712,771571.1216,1229416.085
neg-M201T599,1486155.404,1319693.811,1423532.702,1593016.989,1628673.534,1507796.31,2195052.142,1348694.536,1310420.461,1816938.136,1369355.814,1750382.111,1468542.627,1535172.681,1734398.042,1711466.835,1396863.294
neg-M201T66,58694910.69,57805987.21,84758505.8,115989078.9,113558162.9,86078014.23,110991605.9,62607062.63,74666529.03,103161653,59121150.44,89270649.04,52038103.51,93345125.56,76690004.14,61440804.08,131879620.8
neg-M201T68,19194.20475,21930.39083,43438.28018,44447.07177,54048.91545,17929.29812,56560.10786,97216.37584,100446.8873,67516.33208,46797.88992,367275.2694,112600.2628,71577.06752,102423.9452,80472.83596,123362.1115
neg-M201T72,452315.7011,550562.3626,347863.8892,588279.7868,849221.7956,327880.2888,247773.9427,373984.1153,319398.1309,574087.8319,593239.4947,264622.1613,323766.9759,366061.7472,335087.8742,587569.2618,281554.451
neg-M201T78,192232.3866,208975.8211,271233.9776,441020.4781,577111.7842,159688.0415,160685.0066,300538.9562,196246.3586,157826.6874,201505.7151,152192.5002,197282.3057,296110.0077,291706.1276,156988.0195,189444.1356
neg-M201T81,16909870.96,26816550.2,22052137.24,25123868.31,24720222.74,18791623.91,24981628.73,23462829.17,11954277.21,22653119.1,26091205.3,33332892.2,16150089.8,16999391.94,36700121.79,22816223.64,25973989.03
neg-M202T114,16101195.71,4624535.519,20276310.21,18030904.21,15227015.72,20161034.39,10662870.35,12625900.5,19941691.53,18436893.38,16778709.32,23674840.63,19494313.21,15076333.02,23162181.58,16203309.12,5547939.102
neg-M202T158,17109689.04,16926551.18,7943733.557,5183585.602,14759195.22,15007450.06,12891875.64,15434475.8,16752376.15,15690495,3976352.589,18109469.35,13338458.74,13217802.57,11852208.86,12750268.2,15282374.52
neg-M202T199,248027.495,544854.1642,207391.4608,167665.4716,166019.8809,165385.8208,132303.27,232328.1999,191226.8458,115264.4793,155848.8053,208501.7579,184813.8844,233259.9794,113600.5276,109631.6704,242059.3769
neg-M202T208,851006.035,716101.8709,936376.0864,435776.8538,646464.8716,735848.374,877113.8623,766399.741,880329.9951,990237.53,987770.4006,678699.3369,1789705.373,798065.3295,2399303.813,899123.2789,1581804.625
neg-M202T213_1,701560.9699,618547.0103,707031.3172,886992.1903,371165.1499,436102.4093,233787.3487,239354.3122,293603.4947,382359.9216,382699.3459,332150.2773,115522.8798,130585.926,51329.65823,181583.8519,122274.0662
neg-M202T213_2,4465750.78,4838122.474,4269473.163,3279036.401,6583968.475,6948505.089,3246044.013,3215722.632,3318464.842,3340252.374,3444166.664,1196356.656,3816634.556,3930819.861,1496139.42,2415980.094,1411601.724
neg-M202T232,5551332.986,9477873.396,5804038.428,6330415.423,6628089.659,3662568.474,2871779.135,2978669.294,3029588.899,3626771.809,3316623.2,289634.5358,228632.6262,146190.564,108848.4102,120436.0176,100938.7215
neg-M202T236,468673.0052,388203.0807,372888.4696,504431.5869,455386.8458,661945.8474,454279.5638,470527.9867,494319.967,567640.3949,670803.3906,1204720.044,796174.5386,1052922.589,1572793.38,1117696.335,1783736.211
neg-M202T242,524418.9204,501220.9842,741295.3087,633077.3714,606015.2672,579084.7219,628974.1149,593050.6411,592618.1949,613684.0085,622872.4558,768883.8482,637657.0472,685295.9823,549876.2456,563220.9174,928114.6475
neg-M202T261,619614.8097,804021.6394,885705.9338,812643.9108,1245069.053,1123318.827,829438.0967,785424.6657,837504.6586,834213.0649,926529.2931,294077.0124,638943.248,419796.3144,298361.3094,367380.9049,301469.1265
neg-M202T271,344851.7673,218287.7646,237474.8377,172626.1782,340073.1963,259370.9956,406259.7751,367634.5507,347248.3797,345999.1903,475642.7999,357099.6668,317749.8725,354209.3958,759373.9712,500792.0626,603985.169
neg-M202T303,51056.24785,42047.59007,44455.07508,53718.34185,60345.05705,56235.87195,66258.98241,41955.97844,35992.73378,79020.48124,69785.60783,43809.18227,66869.86145,59263.83244,64702.36979,57696.9781,63148.08602
neg-M202T33,584846.7306,746192.305,691319.5335,747224.699,613339.5086,418647.0941,397799.969,390104.1141,324275.7343,452714.8381,547755.3072,554563.564,742412.1695,797809.7001,938394.1481,263556.5702,667728.7281
neg-M202T460,42508534.91,100311004,89099329.23,21271120.73,31884409.51,26110207.34,49830991.03,110193789.8,68510881.38,86598711.18,53811552.58,132795652.8,55504293.59,147480277.8,91716895.88,75270552.12,36224550.88
neg-M202T5,411599.0949,335965.9867,228940.2865,286944.7923,294087.7538,248271.7392,110507.5094,415614.5815,258238.9615,301168.3674,250598.7453,297902.1317,261330.6854,319667.9263,328249.5274,246905.2334,232579.5828
